SolIndex,Name ,Country,Lang,Yr,Round,Rank,Problem,Size,hr,min,sec,Rqmts,,LOC,eLOC,Preprocessor,Macros,Paren,Brace,Bracket,FunCnt,FunAvgELOC,FunAvgIntrfc,FunAvgCyc
187,g201513,China,C++,2012,Qual,111,Hall of Mirrors,Small,20,36,41,,,102,85,4,0,82,22,17,5,15,5,7.8
188,g201513,China,C++,2012,Qual,111,Hall of Mirrors,Large,20,41,6,,,103,86,4,0,83,22,17,5,15,5,7.8
189,g201513,China,C++,2012,1A,94,Password Problem,Small,,17,39,,,29,25,3,0,19,4,9,1,16,1,5
190,g201513,China,C++,2012,1A,94,Password Problem,Large,,18,37,,,29,25,3,0,19,4,9,1,16,1,5
191,g201513,China,C++,2012,1A,94,Kingdom Rush,Small,,35,18,,,46,38,2,0,22,8,14,1,32,1,14
192,g201513,China,C++,2012,1A,94,Kingdom Rush,Large,,38,0,,,46,38,2,0,22,8,14,1,32,1,14
193,g201513,China,C++,2012,2,99,Swinging Wild,Small,,18,59,,,31,26,3,0,19,5,22,1,19,1,8
194,g201513,China,C++,2012,2,99,Swinging Wild,Large,,20,30,,,31,26,3,0,19,5,22,1,19,1,8
195,g201513,China,C++,2012,2,99,Aerobics,Small,1,57,9,,,61,52,4,0,33,9,25,4,9.75,3.25,5.25
196,g201513,China,C++,2012,2,99,Aerobics,Large,1,58,27,,,61,52,4,0,33,9,25,4,9.75,3.25,5.25
197,g201513,China,C++,2012,2,99,Mountain View,Small,1,29,55,,,51,44,2,0,37,8,14,4,9,5,4.25
198,g201513,China,C++,2012,2,99,Descending in the Dark,Small,2,17,27,,,74,63,4,0,60,13,43,3,16.33,4.33,7.67
199,g201513,China,C++,2012,3,26,Perfect Game,Small,,13,54,,,47,42,12,0,18,6,5,2,10.5,2.5,3.5
200,g201513,China,C++,2012,3,26,Perfect Game,Large,,17,46,,,47,42,12,0,18,6,5,2,10.5,2.5,3.5
201,g201513,China,C++,2012,3,26,Quality Food,Small,1,25,5,,,71,63,12,9,36,9,13,3,14,3.67,5.67
202,g201513,China,C++,2012,3,26,Lost Password,Small,2,18,10,,,100,90,12,0,51,10,44,4,16.75,4,8.75
203,MrRoach,China,C++,2012,Qual,197,Speaking in Tongues,Small,,27,33,,,23,20,4,0,7,4,4,1,11,1,3
204,MrRoach,China,C++,2012,Qual,197,Dancing With the Googlers,Small,,55,32,,,40,35,5,0,13,8,6,1,21,1,7
